commune,year,kontakt,burgle,violentcrime,violentcrime_rate,drug_smuggling,drug_total,drug_trafficking,murder,murderrate,age1565,lowbracket,id,pop,pctforeign,cAdmin,cEducationCulture,cHospitalHealthInsurance,cHousing,cMainAccounts,cSocialHealth,cTrafficInfrastructure,cUtilities,delta_eSocialHealth,eAdmin,eAdminhead,eEducationCulture,eEducationhead,eHospitalHealthInsurance,eHousing,eHousinghead,eMainAccounts,g_social,eSocialhead,eTotalhead,eTrafficInfrastructure,eTraffichead,eUtilities,eUtilitieshead,esocial_head,eutilhead,lowincome,lowincome_rate,pct_runningcons_social,rAdmin,rEducationCulture,rHospitalHealthInsurance,rHousing,rMainAccounts,rSocialHealth,rTrafficInfrastructure,rUtilities,sd_share,sd_share_foreign,seatsCDP,seatsCPP,seatsCoPP,seatsDPP,seatsDR,seatsLDP,seatsPP,seatsSDP,seatsSLP,seatsSPP,seatsSlesvig,seatsUL,seatsmisc,social_head,totalseats,unemp_rate,unemployed,g_social_head,lowbracket_rate,c_social_head,d_c_social_head,g_housing_head,g_admin_head,g_education_head,g_utilities_head,g_traffic_head,pct1565,crime_vtheft
Sydals,2004,8930,7,8,1.229445219,0,0,0,0,0,4408,408,Sydals,6507,0.035961274,574,11759,0,11552,30846,-399,182,7178,9290,25635,3.939603567,60128,9.240509987,0,4158,0.639004171,229224,134420000,20.65775299,35.22729492,8844,1.359151721,-3961,-0.608729064,20.65775299,-0.608729064,2749,0.422468126,0.531512856,0,0,0,0,-26862,-26862,0,0,0.230769232,0.008298756,0,0,2,0,0,3,0,3,0,0,0,0,5,20.65775299,13,0.023820501,155,20657754,0.06270171,16468266,15206154,639004.125,3939603.5,9240510,-608729.0625,1359151.625,0.677424312,15
Sydfalster,2004,15172,12,26,3.703703642,2,17,15,0,0,4977,364,Sydfalster,7020,0.030769231,0,9823,0,-7616,10407,8616,0,-416,589,27193,3.873646736,52360,7.45868969,0,4957,0.706125379,251515,160592000,22.87635422,35.82834625,7282,1.037321925,-869,-0.123789176,22.87635422,-0.123789176,2668,0.380056977,0.577426612,0,0,0,0,-36350,-36350,0,0,0.200000003,0.006153846,0,0,8,0,0,3,0,3,0,1,0,0,0,22.87635422,15,0.033475783,235,22876354,0.05185185,18925640,17475198,706125.375,3873646.75,7458689.5,-123789.1719,1037321.938,0.708974361,38
Sydlangeland,2004,5882,8,10,2.42306757,0,0,0,0,0,2789,262,Sydlangeland,4127,0.024715289,0,5106,0,-660,8801,644,2074,1637,1923,21572,5.227041245,33793,8.188272476,0,2278,0.551974773,166160,104909000,25.42016029,40.26169205,5961,1.444390655,-2353,-0.570147812,25.42016029,-0.570147812,1588,0.384783149,0.562342823,0,0,0,0,-26208,-26208,0,0,0.07692308,0.001901176,0,0,0,0,0,3,0,1,1,0,0,0,8,25.42016029,13,0.044584446,184,25420160,0.063484371,19225830,17752382,551974.8125,5227041.5,8188272.5,-570147.8125,1444390.625,0.675793529,18
Sydthy,2004,21317,28,12,1.057455063,0,0,0,0,0,7559,725,Sydthy,11348,0.027229467,0,1214,0,10672,28275,8858,649,6882,12102,47528,4.188227177,95099,8.380243301,0,7029,0.619404316,443367,286088000,25.21043396,39.07005692,14719,1.297056794,-7096,-0.625308454,25.21043396,-0.625308454,5243,0.462019742,0.579168797,0,-19,0,0,-69678,-69659,0,0,0.210526317,0.00573252,0,1,4,0,0,6,0,4,0,1,0,0,3,25.21043396,19,0.020796616,236,25210434,0.063887909,19852574,18331092,619404.3125,4188227,8380243,-625308.4375,1297056.75,0.666108549,40
Sæby,2004,41379,75,29,1.613890648,0,0,0,0,0,12354,1104,Sæby,17969,0.025766598,1588,3426,0,2805,45192,5432,6146,25795,22838,70910,3.946240664,142218,7.91463089,0,10473,0.582837105,669402,446200000,24.83165359,37.25315857,23069,1.283822179,-23468,-1.306027055,24.83165359,-1.306027055,7762,0.431966156,0.593731046,0,-442,0,-47,-121211,-120722,0,0,0.238095239,0.006134904,0,1,1,0,0,8,0,5,0,0,0,0,6,24.83165359,21,0.038955979,700,24831654,0.061439145,18415606,17004252,582837.125,3946240.75,7914631,-1306027,1283822.125,0.687517405,104
Søllerød,2004,50483,264,31,0.97998929,0,1,1,0,0,20644,2438,Søllerød,31633,0.055543263,1481,33086,0,5921,142001,59852,-1201,42862,29107,138191,4.368570805,312228,9.870325089,0,38922,1.230423927,1167829,670269000,21.18891716,36.9180603,25397,0.802864075,-17178,-0.543040514,21.18891716,-0.543040514,12201,0.385704815,0.530623794,0,-1795,0,0,-111608,-109813,0,0,0.13333334,0.007405769,0,0,3,0,0,8,0,2,1,1,0,0,0,21.18891716,15,0.018556571,587,21188916,0.077071413,19609522,18106668,1230423.875,4368571,9870325,-543040.5,802864.125,0.652609646,295
Sønderborg,2004,116505,119,155,5.122781754,0,12,12,1,3.31E-05,21252,1497,Sønderborg,30257,0.074329905,0,37645,0,-9977,69083,21328,7245,12842,43369,124723,4.12212038,228736,7.559771061,0,19544,0.645933151,1196001,808496000,26.7209568,39.52807617,28303,0.935419917,-13801,-0.456125855,26.7209568,-0.456125855,10728,0.354562581,0.607417345,0,-380,0,0,-209903,-209523,0,0,0.380952388,0.028316155,0,0,1,1,0,9,0,8,1,1,0,0,0,26.7209568,21,0.03556202,1076,26720958,0.049476154,20501074,18929892,645933.1875,4122120.5,7559771.5,-456125.8438,935419.875,0.702382922,274
Sønderhald,2004,15611,40,13,1.555209994,0,0,0,0,0,5676,399,Sønderhald,8359,0.018782152,0,7277,0,-5248,40704,38062,289,324,7823,34871,4.171671391,76172,9.112573624,0,726,0.086852491,308790,189002000,22.61059952,36.94102097,9765,1.168201923,-1746,-0.208876655,22.61059952,-0.208876655,3388,0.405311644,0.545903325,0,-15,0,0,-45029,-45014,0,0,0.466666669,0.008765005,0,0,1,0,0,7,0,7,0,0,0,0,0,22.61059952,15,0.036726881,307,22610600,0.047732983,21778922,20109806,86852.49219,4171671.25,9112573,-208876.6563,1168202,0.679028571,53
Søndersø,2004,22879,105,29,2.578006744,0,0,0,0,0,7833,594,Søndersø,11249,0.021335229,0,1452,0,-5679,5456,5617,1347,2719,14389,42088,3.741488218,110851,9.854298592,0,7032,0.625122249,421993,259810000,23.09627533,37.51382446,7801,0.693483889,-5589,-0.496844172,23.09627533,-0.496844172,4860,0.432038397,0.549546123,0,0,0,-7,-61965,-61958,0,0,0.400000006,0.008534092,0,0,1,1,0,6,0,6,0,1,0,0,0,23.09627533,15,0.031113876,350,23096276,0.052804694,18087742,16701515,625122.25,3741488.25,9854298,-496844.1563,693483.875,0.69632858,134
Them,2004,10595,40,11,1.587301612,0,0,0,0,0,4822,478,Them,6930,0.031313132,468,5172,0,-2724,4224,-135,270,1173,-3516,32313,4.662770748,70222,10.1330452,0,4815,0.694805205,246873,134474000,19.40461731,35.62380981,8729,1.25959599,-3680,-0.531024516,19.40461731,-0.531024516,2977,0.429581523,0.478030801,0,-173,0,24,-31822,-31673,0,0,0.272727281,0.008539946,0,0,0,0,0,5,0,3,0,1,0,0,2,19.40461731,11,0.032756131,227,19404618,0.068975471,14814718,13679333,694805.1875,4662770.5,10133045,-531024.5,1259596,0.695815325,51
