voter.id,treatment,victim.status,ge2000,ge2002,fam.members,age,party,sex,pct.white,median.income
160,0,3,Y,1,3,73,D,F,0.866087019,114731
161,0,3,Y,1,3,73,I,M,0.866087019,114731
162,0,2,N,1,1,72,N,F,0.967794001,33500
163,0,3,Y,1,1,86,D,F,0.967794001,33500
164,1,3,Y,1,2,59,D,M,0.949916005,33444
165,1,3,Y,1,2,55,N,F,0.949916005,33444
166,0,3,N,0,2,63,D,F,0.410564989,48214
167,0,3,N,0,2,65,N,M,0.410564989,48214
168,0,3,N,0,3,67,D,F,0.705882013,81463
169,0,3,Y,0,3,74,N,M,0.705882013,81463
170,0,3,Y,1,2,77,D,M,0.907707989,90608
171,0,3,Y,1,5,64,N,F,0.86273098,115405
172,0,3,Y,1,5,72,N,M,0.86273098,115405
173,0,3,Y,1,2,67,D,F,0.960285008,34375
174,0,3,N,0,1,58,N,M,0.878488004,61250
175,0,3,Y,1,1,40,N,M,0.781139016,102049
176,0,3,Y,1,2,63,D,F,0.942236006,102983
177,0,3,Y,1,2,67,N,M,0.942236006,102983
178,0,3,Y,1,4,71,N,M,0.918968976,86803
179,0,3,Y,1,3,77,N,F,0.942236006,102983
180,0,3,N,0,3,80,N,M,0.942236006,102983
181,1,3,Y,1,3,73,D,F,0.938322008,38250
182,1,3,Y,1,3,72,D,M,0.938322008,38250
183,0,3,N,0,1,37,D,F,0.974474013,52230
184,0,3,Y,1,2,68,D,F,0.866087019,114731
185,0,3,Y,1,2,69,N,M,0.866087019,114731
186,0,3,Y,1,2,70,D,F,0.928849995,138752
187,0,3,Y,1,3,67,N,F,0.928849995,138752
188,0,3,Y,1,3,71,N,M,0.928849995,138752
189,0,3,Y,1,2,75,D,F,0.764226973,66154
190,0,3,N,1,2,51,D,M,0.976000011,33152
191,0,3,N,1,2,51,D,F,0.976000011,33152
192,0,3,Y,1,1,89,D,F,0.694361985,61563
193,0,3,Y,1,1,67,N,M,0.949916005,33444
194,0,3,Y,1,1,53,N,F,0.665678978,47094
195,0,3,N,0,2,83,N,M,0.93859601,99392
196,0,3,Y,1,2,82,D,F,0.93859601,99392
197,0,3,N,0,2,81,N,F,0.93859601,99392
198,0,3,N,0,2,84,D,M,0.93859601,99392
199,1,3,Y,0,2,42,D,F,0.369989008,55066
200,0,3,Y,1,2,38,N,M,0.980488002,28281
201,0,3,Y,0,2,37,N,F,0.980488002,28281
202,0,3,N,0,4,85,D,F,0.890093029,70465
202,0,3,N,0,4,85,D,F,0.890093029,70465
203,0,3,Y,1,2,75,D,F,0.949916005,33444
204,0,3,Y,1,2,75,D,M,0.949916005,33444
205,0,3,Y,1,2,67,D,M,0.819383025,91493
206,0,3,Y,1,2,67,N,F,0.819383025,91493
207,0,3,Y,0,1,70,N,F,0.819383025,91493
208,0,3,N,0,1,78,N,F,0.949916005,33444
209,0,3,Y,1,2,49,D,F,0.819383025,91493
210,0,2,N,0,3,91,D,F,0.945177972,72500
211,0,3,Y,0,2,59,D,F,0.918392003,88227
212,0,3,Y,1,3,64,N,F,0.959904015,46094
213,0,3,Y,0,3,65,N,M,0.959904015,46094
214,0,2,Y,0,1,38,D,F,0.980313003,51250
215,0,3,Y,1,1,29,N,M,0.980488002,28281
216,0,3,Y,1,3,62,D,F,0.93859601,99392
217,0,3,Y,1,3,70,N,M,0.93859601,99392
218,0,3,Y,1,3,73,N,F,0.93859601,99392
219,0,3,Y,1,3,75,N,M,0.93859601,99392
220,0,3,N,0,3,54,N,M,0.863252997,100892
221,1,3,Y,0,1,51,N,M,0.859615028,123613
222,1,3,Y,0,1,45,N,F,0.859615028,123613
223,0,3,N,0,1,70,N,M,0.93859601,99392
224,0,3,Y,1,3,75,D,M,0.93859601,99392
225,0,3,Y,1,3,64,D,F,0.93859601,99392
226,0,3,N,0,1,67,N,M,0.93859601,99392
227,0,3,Y,1,2,84,D,F,0.93859601,99392
228,0,3,N,0,2,53,D,F,0.93859601,99392
229,0,3,N,0,2,89,N,M,0.93859601,99392
230,0,3,Y,0,2,88,N,F,0.93859601,99392
231,0,3,Y,1,2,76,N,M,0.93859601,99392
231,0,3,Y,0,1,63,N,M,0.889090002,42941
232,0,3,Y,1,2,32,N,F,0.987966001,30057
233,0,3,N,0,3,69,N,F,0.877429008,116314
234,0,3,Y,1,3,70,N,M,0.877429008,116314
235,0,3,Y,1,2,46,N,M,0.971955001,36765
236,0,3,Y,1,3,64,D,F,0.949916005,33444
237,0,3,Y,1,3,67,N,M,0.949916005,33444
238,0,3,Y,1,3,41,N,M,0.949916005,33444
239,0,3,Y,1,2,42,N,F,0.971955001,36765
240,0,3,Y,1,1,60,N,F,0.877429008,116314
241,0,3,Y,0,3,52,N,F,0.863252997,100892
242,0,3,Y,0,3,54,N,M,0.863252997,100892
243,0,2,Y,1,1,58,N,M,0.863252997,100892
244,0,3,Y,1,1,72,N,F,0.863252997,100892
245,0,3,N,0,1,54,D,M,0.980488002,28281
246,0,3,N,0,2,64,N,F,0.949916005,33444
247,0,3,N,0,2,69,D,M,0.949916005,33444
248,0,3,Y,1,2,63,D,F,0.920171022,113213
249,0,3,Y,1,2,63,D,M,0.920171022,113213
250,0,3,N,0,2,80,D,M,0.855898976,62292
251,0,3,N,0,2,78,D,F,0.855898976,62292
252,0,3,Y,1,2,51,D,F,0.863252997,100892
253,0,3,Y,1,2,42,N,M,0.980488002,28281
254,0,3,Y,1,2,41,N,F,0.980488002,28281
255,0,3,Y,1,4,58,D,M,0.863252997,100892
256,0,3,Y,1,4,54,D,F,0.863252997,100892
257,0,3,N,0,1,81,D,F,0.280629992,46821
258,0,3,Y,1,2,48,N,F,0.863252997,100892
259,0,3,Y,1,2,54,D,M,0.863252997,100892
260,0,3,N,0,3,65,D,F,0.877429008,116314
261,0,3,N,0,3,67,D,M,0.877429008,116314
262,0,3,Y,1,2,78,D,M,0.863252997,100892
263,0,3,N,0,2,78,D,F,0.863252997,100892
264,0,3,N,0,1,84,N,F,0.863252997,100892
265,1,3,Y,1,3,56,D,M,0.928125024,58500
266,0,3,Y,1,2,31,N,F,0.983042002,31422
267,0,3,Y,1,2,31,N,M,0.983042002,31422
268,0,3,N,0,1,77,N,F,0.949916005,33444
269,0,3,Y,1,2,52,N,M,0.862187028,53359
270,0,3,Y,0,1,37,N,M,0.960285008,34375
271,0,2,Y,1,2,52,N,F,0.86273098,115405
272,0,2,Y,1,2,52,N,M,0.86273098,115405
273,0,3,Y,1,2,82,D,M,0.906188011,122470
274,0,3,Y,1,2,81,N,F,0.906188011,122470
275,0,3,Y,1,2,46,D,F,0.967794001,33500
276,0,3,Y,1,2,47,D,M,0.967794001,33500
277,0,3,N,0,2,59,D,M,0.883898973,37245
278,0,2,N,0,3,23,D,M,0.980488002,28281
279,0,3,Y,1,1,55,D,M,0.641631007,62303
280,0,2,N,0,1,63,N,M,0.971955001,36765
281,0,3,N,0,2,85,N,M,0.861693978,82100
282,0,3,N,0,2,86,N,F,0.861693978,82100
283,0,3,Y,1,3,61,D,F,0.455274999,46250
284,0,3,N,0,2,82,N,M,0.455274999,46250
285,0,3,Y,1,2,64,D,F,0.455274999,46250
286,0,3,N,0,1,46,N,M,0.976000011,33152
287,0,2,Y,1,1,37,N,F,0.943654001,31961
288,1,3,Y,1,2,61,N,M,0.816238999,78725
289,1,3,Y,1,2,52,D,M,0.816238999,78725
290,1,3,Y,1,2,51,N,F,0.816238999,78725
291,0,3,Y,1,2,62,N,F,0.797770023,50917
292,0,3,Y,1,2,66,N,M,0.797770023,50917
293,0,3,N,0,2,22,N,M,0.987966001,30057
294,0,3,N,0,2,69,N,M,0.967794001,33500
295,0,3,Y,0,2,41,D,F,0.949916005,33444
296,0,3,N,0,1,81,D,F,0.55093801,33672
297,0,3,Y,1,2,67,N,F,0.913933992,117830
298,0,3,Y,1,1,92,N,F,0.913933992,117830
299,0,3,N,0,2,87,N,M,0.913933992,117830
300,0,3,Y,1,1,43,N,F,0.955856025,40781
301,0,3,Y,1,1,82,D,F,0.380171001,47500
302,0,3,N,0,2,71,N,F,0.967794001,33500
303,0,3,Y,1,1,80,D,F,0.880834997,67143
304,0,3,Y,1,2,79,N,F,0.864471972,65341
305,0,3,Y,1,2,78,D,M,0.864471972,65341
306,0,2,N,0,3,21,N,M,0.980488002,28281
307,0,3,N,0,1,88,D,F,0.892723978,165544
308,1,3,Y,1,2,57,N,F,0.906574011,74750
309,1,3,Y,1,2,61,N,M,0.906574011,74750
310,0,3,N,0,1,43,D,F,0.967794001,33500
311,0,3,N,0,2,57,D,M,0.906870008,56071
312,0,2,Y,1,1,69,N,F,0.956472993,62250
313,0,3,N,0,2,77,N,F,0.380171001,47500
314,0,3,Y,1,4,68,D,F,0.380171001,47500
315,0,3,Y,0,4,63,N,F,0.380171001,47500
316,0,2,Y,1,3,64,N,M,0.380171001,47500
317,0,2,N,0,3,79,N,M,0.380171001,47500
318,0,3,N,0,2,39,D,F,0.960285008,34375
319,0,3,Y,0,1,96,N,F,0.970818996,171503
320,0,3,N,0,2,67,N,F,0.970818996,171503
320,0,3,N,0,2,67,N,F,0.970818996,171503
321,1,3,Y,1,2,47,N,F,0.88754499,100685
322,0,2,N,0,1,52,D,F,0.974947989,80234
323,0,3,Y,0,1,67,N,F,0.784334004,75372
324,0,3,Y,1,4,60,N,M,0.974947989,80234
325,0,3,Y,1,4,58,N,F,0.974947989,80234
326,0,3,Y,1,1,78,D,F,0.784334004,75372
327,0,2,Y,0,1,36,N,F,0.949916005,33444
328,1,3,N,0,2,46,N,M,0.859615028,123613
329,1,3,N,0,2,44,N,F,0.859615028,123613
330,0,3,N,0,1,91,N,F,0.922155976,31667
331,1,3,Y,1,1,85,D,M,0.898495972,80000
332,0,3,Y,1,2,46,N,F,0.974474013,52230
333,0,3,Y,1,1,67,N,F,0.964953005,99333
334,1,2,A,1,6,66,N,M,0.369989008,55066
335,1,2,N,0,6,38,N,M,0.369989008,55066
336,0,3,N,0,1,91,N,F,0.903900027,77241
337,0,3,Y,0,1,75,N,M,0.899698019,52171
338,1,3,Y,0,2,60,N,F,0.899698019,52171
339,1,3,Y,0,2,66,N,M,0.899698019,52171
340,1,3,N,0,2,19,D,F,0.859615028,123613
341,0,3,N,0,1,83,N,M,0.948059976,80160
342,0,3,Y,1,4,57,N,F,0.948059976,80160
343,0,3,Y,1,2,66,D,F,0.957255006,76094
344,0,3,N,0,1,78,N,F,0.845328987,111421
345,0,3,Y,1,2,74,N,M,0.845328987,111421
346,0,3,Y,1,2,39,N,M,0.845328987,111421
347,0,3,N,0,2,49,N,M,0.974474013,52230
348,0,2,N,0,1,86,D,M,0.948059976,80160
349,0,3,Y,1,2,47,N,M,0.802335024,79341
350,0,2,N,0,3,67,D,M,0.951496005,41779
351,0,2,Y,0,3,64,D,F,0.951496005,41779
352,0,2,Y,0,3,37,D,F,0.951496005,41779
353,0,3,Y,0,2,71,N,F,0.586320996,32850
354,0,3,Y,1,2,68,D,M,0.980313003,51250
355,0,3,N,0,1,76,D,M,0.457507014,42232
356,0,2,Y,1,3,59,N,M,0.931276977,55156
357,1,3,Y,0,1,77,N,F,0.824307024,71667
358,0,3,N,0,1,81,D,M,0.905417979,39688
359,0,3,Y,1,1,52,D,F,0.907913983,47857
