"","name","state","treated","y1986","y1994","y1983","y1990"
"2074","WILDALPEN","STYRIA",1,0.6644144,0.62954,0.6659436,0.6659142
"2075","WILDENDUERNBACH","LOWERAUSTRIA",0,0.1946429,0.1612903,0.2225154,0.199618
"2076","WILDERMIEMING","TYROL",1,0.2713568,0.2358722,0.3160763,0.3293269
"2077","WILDON","STYRIA",1,0.4417582,0.3265918,0.4974546,0.4391843
"2078","WILDSCHOENAU","TYROL",1,0.1079349,0.0866766,0.1351626,0.112586
"2079","WILFERSDORF","LOWERAUSTRIA",0,0.3875,0.3484603,0.4037559,0.4008333
"2080","WILHELMSBURG","LOWERAUSTRIA",0,0.5626337,0.4682889,0.6096927,0.5657172
"2081","WILHERING","UPPERAUSTRIA",0,0.36565,0.3206447,0.4169255,0.3898062
"2082","WILLENDORF","LOWERAUSTRIA",0,0.5215517,0.4318182,0.5580913,0.4834437
"2083","WIMPASSING/LEITHA","BURGENLAND",0,0.446,0.3469785,0.4804124,0.4323232
"2084","WIMPASSING/SCHWARZATALE","LOWERAUSTRIA",0,0.6781046,0.5747232,0.7503817,0.6731278
"2085","WINDEN/SEE","BURGENLAND",0,0.5944056,0.5568182,0.6017699,0.606414
"2086","WINDHAAG/FREISTADT","UPPERAUSTRIA",0,0.2775666,0.2415211,0.301306,0.2763158
"2087","WINDHAAG/PERG","UPPERAUSTRIA",0,0.2441379,0.2048847,0.2496329,0.2458101
"2088","WINDIGSTEIG","LOWERAUSTRIA",0,0.3337679,0.3024862,0.3610422,0.3582296
"2089","WINDISCHGARSTEN","UPPERAUSTRIA",0,0.4877324,0.4304085,0.5102506,0.5096525
"2090","WINKLARN","LOWERAUSTRIA",0,0.3789346,0.3122765,0.4402985,0.4177215
"2091","WINKLERN","CARINTHIA",1,0.3812199,0.4108984,0.3935743,0.401279
"2092","WINKLERN/OBERWOELZ","STYRIA",1,0.2085386,0.1879195,0.2805508,0.2191558
"2093","WINZENDORF-MUTHMANNSDORF","LOWERAUSTRIA",0,0.5345149,0.4177598,0.5655665,0.527117
"2094","WIPPENHAM","UPPERAUSTRIA",0,0.2809668,0.3025936,0.313253,0.3093093
"2095","WOELBLING","LOWERAUSTRIA",0,0.4315412,0.3820854,0.4831288,0.4403145
"2096","WOELLERSDORF-STEINAB.","LOWERAUSTRIA",0,0.5916052,0.4861184,0.6114508,0.5890263
"2097","WOERGL","TYROL",1,0.4342877,0.3582247,0.5046499,0.4452856
"2098","WOERSCHACH","STYRIA",1,0.4448871,0.3873995,0.4845758,0.4516971
"2099","WOLFAU","BURGENLAND",0,0.4476191,0.429078,0.4895961,0.4889162
"2100","WOLFERN","UPPERAUSTRIA",0,0.3446227,0.2994555,0.3818646,0.344232
"2101","WOLFPASSING","LOWERAUSTRIA",0,0.1311881,0.1437346,0.1447368,0.1687657
"2102","WOLFSBACH","LOWERAUSTRIA",0,0.1460055,0.1412104,0.1748792,0.1570483
"2103","WOLFSBERG/SCHWARZAUTAL","STYRIA",1,0.1890909,0.1950287,0.2393822,0.2140411
"2104","WOLFSEGG/HAUSRUCK","UPPERAUSTRIA",0,0.4937888,0.4098229,0.5535852,0.4916733
"2105","WOLFSGRABEN","LOWERAUSTRIA",0,0.3016158,0.2252252,0.3713163,0.309329
"2106","WOLFSTHAL","LOWERAUSTRIA",0,0.4755319,0.4190586,0.5109718,0.4775465
"2107","WOLFURT","VORARLBERG",1,0.2385707,0.1966206,0.2369828,0.278105
"2108","WOLKERSDORF/WEINVIERTEL","LOWERAUSTRIA",0,0.3336194,0.2650904,0.36323,0.3309332
"2109","WUERFLACH","LOWERAUSTRIA",0,0.495858,0.4371524,0.5337278,0.4943311
"2110","WUERMLA","LOWERAUSTRIA",0,0.1687075,0.1132075,0.1695906,0.1558785
"2111","WULKAPRODERSDORF","BURGENLAND",0,0.5660848,0.5124298,0.5642553,0.5695254
"2112","WULLERSDORF","LOWERAUSTRIA",0,0.2775897,0.2356643,0.2920825,0.2821918
"2113","WUNDSCHUH","STYRIA",1,0.2942238,0.2529551,0.305,0.3080513
"2114","YBBS/DONAU","LOWERAUSTRIA",0,0.5580645,0.4723302,0.5874597,0.5603697
"2115","YBBSITZ","LOWERAUSTRIA",0,0.251326,0.2019151,0.2934603,0.2388302
"2116","YSPERTAL","LOWERAUSTRIA",0,0.4031972,0.3333333,0.4125998,0.4189895
"2117","ZEDERHAUS","SALZBURG",0,0.1823362,0.1561181,0.2126761,0.2177068
"2118","ZEILLERN","LOWERAUSTRIA",0,0.1878788,0.1523046,0.2089552,0.2291022
"2119","ZEISELMAUER-WOLFPASSING","LOWERAUSTRIA",0,0.4796905,0.3865854,0.5093834,0.4878049
"2120","ZELKING-MATZLEINSDORF","LOWERAUSTRIA",0,0.3577128,0.2667579,0.3676662,0.3240997
"2121","ZELL","CARINTHIA",1,0.5734407,0.5875,0.5739645,0.6768293
"2122","ZELL/MOOS","UPPERAUSTRIA",0,0.1705539,0.1871508,0.2245509,0.2188905
"2123","ZELL/PETTENFIRST","UPPERAUSTRIA",0,0.3753894,0.2912773,0.3859911,0.3458529
"2124","ZELL/PRAM","UPPERAUSTRIA",0,0.2377451,0.1726439,0.243421,0.2290406
"2125","ZELL/ZILLER","TYROL",1,0.2898148,0.2492179,0.3400922,0.3140496
"2126","ZELLBERG","TYROL",1,0.2281167,0.1740506,0.3041096,0.2275
"2127","ZELLERNDORF","LOWERAUSTRIA",0,0.3957958,0.3229036,0.4329958,0.4190184
"2128","ZELTWEG","STYRIA",1,0.6105227,0.5225294,0.7,0.6133574
"2129","ZERLACH","STYRIA",1,0.1365422,0.1424707,0.1673428,0.1531792
"2130","ZETTLING","STYRIA",1,0.4017217,0.2797101,0.4392804,0.3661972
"2131","ZEUTSCHACH","STYRIA",1,0.2745098,0.2222222,0.2519084,0.261745
"2132","ZIERSDORF","LOWERAUSTRIA",0,0.3504854,0.3216995,0.3546169,0.3688082
"2133","ZILLINGDORF","LOWERAUSTRIA",0,0.6262626,0.5333334,0.6588448,0.6320755
"2134","ZIRL","TYROL",1,0.3592493,0.2781547,0.4283746,0.3644295
"2135","ZISTERSDORF","LOWERAUSTRIA",0,0.3013313,0.2507688,0.3148893,0.314497
"2136","ZOEBERN","LOWERAUSTRIA",0,0.1947308,0.1652174,0.2173382,0.2110609
"2137","ZOEBLEN","TYROL",1,0.0775194,0.026087,0.0620155,0.0413793
"2138","ZURNDORF","BURGENLAND",0,0.6281952,0.5235008,0.6346892,0.6152542
"2139","ZWARING-POELS","STYRIA",1,0.3109541,0.2556213,0.4022005,0.3095238
"2140","ZWENTENDORF/DONAU","LOWERAUSTRIA",0,0.5057034,0.427048,0.5453682,0.5200756
"2141","ZWETTL","LOWERAUSTRIA",0,0.244667,0.213952,0.2739008,0.2642831
"2142","ZWETTL/NIEDEROESTERREICH","LOWERAUSTRIA",0,0.2355404,0.1971288,0.2614362,0.242998
"2143","ZWETTL/RODL","UPPERAUSTRIA",0,0.2309322,0.2259663,0.2254335,0.2431866
"2144","ZWISCHENWASSER","VORARLBERG",1,0.21669,0.1777004,0.2523297,0.2322888
"2145","ZWOELFAXING","LOWERAUSTRIA",0,0.5027996,0.4143519,0.5425791,0.521587
"2146","KAUNERTAL","TYROL",1,0.1481481,0.175,0.1489362,NA
"2147","LANDECK","TYROL",1,0.4155647,0.4170254,0.4466994,0.454231
"2148","SPISS","TYROL",1,0.2173913,0.1756757,NA,0.2375
"2149","ZAMS","TYROL",1,0.353763,0.2460707,NA,0.3783261
"2150","ABFALTERSBACH","TYROL",1,0.0751295,0.0460705,NA,0.070529
"2151","AINET","TYROL",1,0.1643836,0.1509804,NA,0.1996233
"2152","AMLACH","TYROL",1,0.2418301,0.1310345,NA,0.2384106
"2153","ANRAS","TYROL",1,0.0962289,0.1406045,NA,0.1544209
"2154","ASSLING","TYROL",1,0.1019763,0.0948136,NA,0.1330645
"2155","AUSSERVILLGRATEN","TYROL",1,0.0546624,0.071885,NA,0.0980392
"2156","DOELSACH","TYROL",1,0.3356643,0.2781278,NA,0.3197279
"2157","GAIMBERG","TYROL",1,0.1374408,0.1182519,NA,0.1446078
"2158","HOPFGARTEN/DEFEREGG.","TYROL",1,0.0828829,0.08125,NA,0.0945674
"2159","INNERVILLGRATEN","TYROL",1,0.0182119,0.0304569,NA,0.035
"2160","ISELSBERG-STRONACH","TYROL",1,0.2214286,0.2322097,NA,0.2237288
"2161","KALS A.GROSSGLOCKNER","TYROL",1,0.109063,0.118123,NA,0.1396011
"2162","KARTITSCH","TYROL",1,0.0405405,0.0591398,NA,0.0608974
"2163","LAVANT","TYROL",1,0.0769231,0.1478873,NA,0.0972222
"2164","LEISACH","TYROL",1,0.1680851,0.1538462,NA,0.1766004
"2165","LIENZ","TYROL",1,0.3204948,0.2584782,NA,0.3192328
"2166","MATREI IN OSTTIROL","TYROL",1,0.1859277,0.1587621,NA,0.2156711
"2167","NIKOLSDORF","TYROL",1,0.1833977,0.1545988,NA,0.2263056
"2168","NUSSDORF-DEBANT","TYROL",1,0.3352865,0.2791587,NA,0.3194087
"2169","OBERLIENZ","TYROL",1,0.140327,0.1277213,NA,0.152
"2170","OBERTILLIACH","TYROL",1,0.0610998,0.073903,NA,0.0972516
"2171","PRAEGRATEN","TYROL",1,0.1007092,0.0959119,NA,0.1202435
"2172","ST.JAKOB/DEFEREGGEN","TYROL",1,0.0962199,0.1113074,NA,0.1328904
"2173","ST.JOHANN IM WALDE","TYROL",1,0.0965909,0.0648649,NA,0.0869565
"2174","ST.VEIT/DEFEREGGEN","TYROL",1,0.0489978,0.0774487,NA,0.1011236
"2175","SCHLAITEN","TYROL",1,0.1111111,0.0656371,NA,0.0968858
"2176","SILLIAN","TYROL",1,0.1517997,0.1413882,NA,0.1970405
"2177","STRASSEN","TYROL",1,0.0659341,0.059081,NA,0.087234
"2178","THURN","TYROL",1,0.7448276,0.0638298,NA,0.1074919
"2179","TRISTACH","TYROL",1,0.2012103,0.1682627,NA,0.2062315
