treatment,victim.status,voted_2000,voted_2002,fam.members,age,party,sex,pct.white,median.income
0,3,Y,1,3,64,D,F,0.93859601,99392
0,3,N,0,1,67,N,M,0.93859601,99392
0,3,Y,1,2,84,D,F,0.93859601,99392
0,3,N,0,2,53,D,F,0.93859601,99392
0,3,N,0,2,89,N,M,0.93859601,99392
0,3,Y,0,2,88,N,F,0.93859601,99392
0,3,Y,1,2,76,N,M,0.93859601,99392
0,3,Y,0,1,63,N,M,0.889090002,42941
0,3,Y,1,2,32,N,F,0.987966001,30057
0,3,N,0,3,69,N,F,0.877429008,116314
0,3,Y,1,3,70,N,M,0.877429008,116314
0,3,Y,1,2,46,N,M,0.971955001,36765
0,3,Y,1,3,64,D,F,0.949916005,33444
0,3,Y,1,3,67,N,M,0.949916005,33444
0,3,Y,1,3,41,N,M,0.949916005,33444
0,3,Y,1,2,42,N,F,0.971955001,36765
0,3,Y,1,1,60,N,F,0.877429008,116314
0,3,Y,0,3,52,N,F,0.863252997,100892
0,3,Y,0,3,54,N,M,0.863252997,100892
0,2,Y,1,1,58,N,M,0.863252997,100892
0,3,Y,1,1,72,N,F,0.863252997,100892
0,3,N,0,1,54,D,M,0.980488002,28281
0,3,N,0,2,64,N,F,0.949916005,33444
0,3,N,0,2,69,D,M,0.949916005,33444
0,3,Y,1,2,63,D,F,0.920171022,113213
0,3,Y,1,2,63,D,M,0.920171022,113213
0,3,N,0,2,80,D,M,0.855898976,62292
0,3,N,0,2,78,D,F,0.855898976,62292
0,3,Y,1,2,51,D,F,0.863252997,100892
0,3,Y,1,2,42,N,M,0.980488002,28281
0,3,Y,1,2,41,N,F,0.980488002,28281
0,3,Y,1,4,58,D,M,0.863252997,100892
0,3,Y,1,4,54,D,F,0.863252997,100892
0,3,N,0,1,81,D,F,0.280629992,46821
0,3,Y,1,2,48,N,F,0.863252997,100892
0,3,Y,1,2,54,D,M,0.863252997,100892
0,3,N,0,3,65,D,F,0.877429008,116314
0,3,N,0,3,67,D,M,0.877429008,116314
0,3,Y,1,2,78,D,M,0.863252997,100892
0,3,N,0,2,78,D,F,0.863252997,100892
0,3,N,0,1,84,N,F,0.863252997,100892
1,3,Y,1,3,56,D,M,0.928125024,58500
0,3,Y,1,2,31,N,F,0.983042002,31422
0,3,Y,1,2,31,N,M,0.983042002,31422
0,3,N,0,1,77,N,F,0.949916005,33444
0,3,Y,1,2,52,N,M,0.862187028,53359
0,3,Y,0,1,37,N,M,0.960285008,34375
0,2,Y,1,2,52,N,F,0.86273098,115405
0,2,Y,1,2,52,N,M,0.86273098,115405
0,3,Y,1,2,82,D,M,0.906188011,122470
0,3,Y,1,2,81,N,F,0.906188011,122470
0,3,Y,1,2,46,D,F,0.967794001,33500
0,3,Y,1,2,47,D,M,0.967794001,33500
0,3,N,0,2,59,D,M,0.883898973,37245
0,2,N,0,3,23,D,M,0.980488002,28281
0,3,Y,1,1,55,D,M,0.641631007,62303
0,2,N,0,1,63,N,M,0.971955001,36765
0,3,N,0,2,85,N,M,0.861693978,82100
0,3,N,0,2,86,N,F,0.861693978,82100
0,3,Y,1,3,61,D,F,0.455274999,46250
0,3,N,0,2,82,N,M,0.455274999,46250
0,3,Y,1,2,64,D,F,0.455274999,46250
0,3,N,0,1,46,N,M,0.976000011,33152
0,2,Y,1,1,37,N,F,0.943654001,31961
1,3,Y,1,2,61,N,M,0.816238999,78725
1,3,Y,1,2,52,D,M,0.816238999,78725
1,3,Y,1,2,51,N,F,0.816238999,78725
0,3,Y,1,2,62,N,F,0.797770023,50917
0,3,Y,1,2,66,N,M,0.797770023,50917
0,3,N,0,2,22,N,M,0.987966001,30057
0,3,N,0,2,69,N,M,0.967794001,33500
0,3,Y,0,2,41,D,F,0.949916005,33444
0,3,N,0,1,81,D,F,0.55093801,33672
0,3,Y,1,2,67,N,F,0.913933992,117830
0,3,Y,1,1,92,N,F,0.913933992,117830
0,3,N,0,2,87,N,M,0.913933992,117830
0,3,Y,1,1,43,N,F,0.955856025,40781
0,3,Y,1,1,82,D,F,0.380171001,47500
0,3,N,0,2,71,N,F,0.967794001,33500
0,3,Y,1,1,80,D,F,0.880834997,67143
0,3,Y,1,2,79,N,F,0.864471972,65341
0,3,Y,1,2,78,D,M,0.864471972,65341
0,2,N,0,3,21,N,M,0.980488002,28281
0,3,N,0,1,88,D,F,0.892723978,165544
1,3,Y,1,2,57,N,F,0.906574011,74750
1,3,Y,1,2,61,N,M,0.906574011,74750
0,3,N,0,1,43,D,F,0.967794001,33500
0,3,N,0,2,57,D,M,0.906870008,56071
0,2,Y,1,1,69,N,F,0.956472993,62250
0,3,N,0,2,77,N,F,0.380171001,47500
0,3,Y,1,4,68,D,F,0.380171001,47500
0,3,Y,0,4,63,N,F,0.380171001,47500
0,2,Y,1,3,64,N,M,0.380171001,47500
0,2,N,0,3,79,N,M,0.380171001,47500
0,3,N,0,2,39,D,F,0.960285008,34375
0,3,Y,0,1,96,N,F,0.970818996,171503
0,3,N,0,2,67,N,F,0.970818996,171503
0,3,N,0,2,67,N,F,0.970818996,171503
1,3,Y,1,2,47,N,F,0.88754499,100685
0,2,N,0,1,52,D,F,0.974947989,80234
0,3,Y,0,1,67,N,F,0.784334004,75372
0,3,Y,1,4,60,N,M,0.974947989,80234
0,3,Y,1,4,58,N,F,0.974947989,80234
0,3,Y,1,1,78,D,F,0.784334004,75372
0,2,Y,0,1,36,N,F,0.949916005,33444
1,3,N,0,2,46,N,M,0.859615028,123613
1,3,N,0,2,44,N,F,0.859615028,123613
0,3,N,0,1,91,N,F,0.922155976,31667
1,3,Y,1,1,85,D,M,0.898495972,80000
0,3,Y,1,2,46,N,F,0.974474013,52230
0,3,Y,1,1,67,N,F,0.964953005,99333
1,2,A,1,6,66,N,M,0.369989008,55066
1,2,N,0,6,38,N,M,0.369989008,55066
0,3,N,0,1,91,N,F,0.903900027,77241
0,3,Y,0,1,75,N,M,0.899698019,52171
1,3,Y,0,2,60,N,F,0.899698019,52171
1,3,Y,0,2,66,N,M,0.899698019,52171
1,3,N,0,2,19,D,F,0.859615028,123613
0,3,N,0,1,83,N,M,0.948059976,80160
0,3,Y,1,4,57,N,F,0.948059976,80160
0,3,Y,1,2,66,D,F,0.957255006,76094
0,3,N,0,1,78,N,F,0.845328987,111421
0,3,Y,1,2,74,N,M,0.845328987,111421
0,3,Y,1,2,39,N,M,0.845328987,111421
