eduyrs,female,close_far_right,minority,father_citizen,father_secondary,years_to_reform
11,0,0,1,0,1,9
13,0,0,0,1,NA,17
13,1,0,1,0,1,1
13,0,0,1,0,1,16
13,1,0,1,0,0,-21
9,1,0,1,0,1,-32
13,0,0,1,0,1,-29
13,0,0,1,0,1,15
11,0,0,1,0,1,18
9,1,0,1,0,0,-33
10,0,0,1,0,1,-14
13,0,0,1,0,1,-23
10,0,0,1,0,1,-24
13,0,0,1,0,1,-21
11,1,0,1,0,NA,-26
9,0,0,1,0,NA,-41
11,0,0,1,0,NA,13
13,1,0,1,0,1,4
13,1,0,0,0,1,19
11,0,0,1,0,1,3
10,1,0,1,0,1,-6
13,0,0,1,0,1,19
10,0,0,1,0,1,-37
9,0,0,1,0,1,-26
13,0,0,1,0,1,2
13,1,0,1,0,1,-14
13,1,0,1,0,1,-29
13,0,0,1,0,1,-18
11,1,0,1,0,1,-17
13,0,0,1,0,1,-26
13,1,0,1,0,1,1
13,0,0,1,0,1,-27
13,0,0,1,0,1,-25
13,0,0,1,0,1,4
13,0,0,1,0,1,-19
13,0,0,1,0,1,14
9,1,0,1,0,1,-27
13,1,0,1,0,1,-11
13,0,0,0,1,0,-25
13,0,0,1,0,1,5
13,0,0,1,0,1,14
13,0,0,1,0,1,-38
10,0,0,1,0,1,-20
13,0,0,1,0,1,-30
13,1,0,1,0,1,-20
13,1,0,1,1,1,1
13,1,0,1,0,NA,-16
13,0,0,1,1,1,4
13,0,0,1,0,1,-13
10,1,0,1,0,1,-13
13,0,0,1,1,1,6
13,0,0,1,0,1,-19
13,0,0,1,0,1,-1
10,0,0,1,0,1,-33
13,1,0,1,0,1,9
13,1,0,1,0,0,-24
10,0,0,1,0,1,-38
13,0,0,1,0,1,6
9,1,0,1,0,1,-37
11,0,0,1,0,1,-9
11,1,0,1,0,1,-13
12,0,0,1,1,NA,14
11,1,0,0,1,1,19
13,1,0,0,1,1,6
13,1,0,1,0,1,10
12,0,0,1,0,1,-8
13,0,0,1,1,1,1
11,0,0,0,1,1,12
10,1,0,1,0,1,-22
12,1,0,1,0,1,9
13,1,0,1,0,NA,9
13,1,0,1,0,1,17
11,1,0,1,0,1,-12
13,1,0,1,0,1,10
13,0,0,1,1,1,-21
13,0,0,1,1,1,17
13,0,0,1,0,1,14
13,0,0,1,0,1,-3
11,0,0,1,0,1,-2
10,1,0,1,0,1,-22
13,0,0,1,0,1,-17
11,0,0,1,1,1,7
13,0,0,1,0,1,-10
13,1,0,1,0,1,2
9,0,0,1,0,1,-30
9,0,0,1,0,1,-14
10,0,0,1,0,NA,-7
11,0,0,1,0,1,8
10,1,0,1,0,1,-26
13,0,0,1,0,1,13
12,1,0,1,0,1,7
11,1,0,1,0,0,-17
10,1,0,1,0,1,0
9,1,0,1,0,1,-28
13,1,0,1,0,1,-13
13,1,0,1,0,1,-20
13,1,0,1,0,1,-23
11,0,0,1,0,1,-27
13,1,0,1,0,1,-30
13,0,0,1,0,1,-2
12,1,0,1,0,1,14
11,1,0,1,0,0,-28
13,1,0,1,0,1,4
11,1,0,1,0,1,11
13,0,0,1,0,1,-19
13,1,0,1,0,1,14
13,0,0,1,0,1,-3
12,1,0,1,0,0,-35
13,1,0,1,0,1,19
11,0,0,1,0,1,1
10,1,0,1,0,1,-5
9,1,0,1,0,1,-24
13,0,0,1,0,1,-24
13,1,0,1,0,1,-7
13,0,0,1,0,1,3
13,1,0,1,0,1,14
11,1,0,1,0,1,-15
13,1,0,1,0,1,12
13,1,0,1,0,1,2
13,0,0,1,0,1,-6
13,0,0,1,0,0,4
9,0,0,1,0,0,-28
12,0,0,1,0,1,-32
13,0,0,1,0,1,2
13,1,0,1,0,1,3
13,1,0,0,1,1,13
13,1,0,1,1,1,19
13,1,0,1,1,1,-15
13,0,0,1,0,1,-7
12,1,0,0,0,1,15
7,0,0,1,0,1,-25
13,0,0,1,0,1,4
13,0,0,1,0,1,-14
13,1,0,1,0,1,-6
13,1,0,1,0,1,-28
13,1,0,1,0,1,-14
13,1,0,1,0,1,4
13,1,0,1,0,1,-28
11,1,0,1,0,1,12
13,0,0,1,0,1,-25
13,1,0,1,0,1,-5
8,0,0,1,1,1,-31
13,1,0,1,0,NA,8
11,1,0,1,0,1,11
10,1,0,1,0,1,-32
9,0,0,1,0,1,-33
13,1,0,1,1,1,16
13,0,0,0,1,1,1
9,1,0,1,1,NA,16
11,0,0,1,0,1,-37
13,1,0,0,1,1,0
13,0,0,1,0,1,13
13,0,0,1,1,NA,15
13,1,0,1,0,1,13
9,1,0,1,0,1,-34
13,1,0,1,0,1,18
12,1,0,1,0,NA,-30
9,1,0,1,0,1,-37
12,0,0,1,0,1,-22
11,1,0,0,0,1,-5
11,0,0,1,0,1,-25
13,0,0,1,1,1,-3
13,0,0,0,0,1,-28
13,0,0,1,1,1,9
11,1,0,1,0,1,-6
12,1,0,1,0,NA,2
12,0,0,1,0,1,-15
13,1,0,1,0,1,10
13,0,0,1,0,1,8
11,0,0,1,1,1,-12
13,0,0,1,0,1,9
10,1,0,1,0,1,-40
13,1,0,1,0,1,-17
13,0,0,1,0,1,8
11,0,0,1,0,1,15
7,1,0,1,0,1,-23
7,1,0,1,0,1,-33
11,0,0,1,0,1,1
13,0,0,1,1,1,-23
13,1,0,1,1,1,13
12,1,0,1,0,1,-18
9,1,0,1,0,0,-32
13,1,0,1,0,1,4
10,1,0,1,0,1,-31
12,0,0,1,0,1,0
9,1,0,1,0,0,-33
13,1,0,1,0,1,-2
9,1,0,1,0,NA,-35
13,0,0,1,0,NA,-37
13,0,0,1,1,1,-38
9,1,0,1,0,0,-11
10,1,0,1,0,0,-19
13,1,0,1,0,1,-30
13,1,0,1,0,1,-7
13,1,0,1,0,1,10
13,0,0,1,0,1,-11
11,1,0,1,0,1,-30
10,0,1,1,0,1,-7
11,0,0,1,0,NA,10
10,1,0,1,0,1,-13
13,1,0,1,0,1,-37
11,0,0,1,0,1,-12
13,1,0,1,0,1,1
13,0,0,1,0,1,-24
13,0,0,1,0,1,0
11,1,0,1,0,1,-5
13,1,0,1,0,1,-4
13,1,0,1,0,1,18
13,1,0,1,0,1,11
13,1,0,1,0,1,7
13,0,0,1,0,1,-12
13,0,0,1,0,1,-8
13,1,0,1,0,1,16
13,0,0,1,0,1,8
13,0,0,1,0,0,-26
13,1,0,1,0,1,6
13,0,0,1,0,1,15
10,0,0,1,0,1,0
9,1,0,1,1,0,-20
11,0,0,1,1,1,16
10,1,0,1,NA,NA,-8
10,1,0,1,0,1,-13
11,0,0,1,0,NA,5
13,0,0,1,0,NA,-14
13,1,0,1,0,1,1
9,0,0,1,0,1,-42
10,1,0,1,1,NA,-38
4,1,0,1,0,NA,-8
13,0,0,1,0,1,12
13,0,0,1,NA,NA,-8
13,1,0,1,0,1,7
8,0,0,1,0,1,-14
13,1,0,1,1,1,16
11,0,0,1,0,1,11
13,1,0,0,1,1,-15
12,0,0,1,0,1,-19
13,0,0,0,1,1,12
13,0,0,1,1,1,14
12,0,0,1,0,1,-13
13,0,0,1,0,1,-2
12,1,0,1,1,1,10
9,0,0,1,0,NA,-36
13,0,0,1,1,NA,-23
13,0,0,0,1,1,-18
13,1,0,1,1,0,10
13,1,0,1,NA,1,-26
13,1,0,1,0,1,-2
13,1,0,1,0,1,19
13,0,0,1,1,1,2
13,0,0,1,0,1,7
12,1,0,1,0,1,-19
13,1,0,0,1,1,-5
13,0,0,1,0,NA,-36
13,0,0,1,0,1,-6
13,0,0,0,1,1,18
13,1,0,1,0,1,16
11,1,0,1,0,1,-29
13,1,0,1,0,1,9
0,0,0,1,0,1,-4
13,0,0,0,1,1,-27
13,1,0,1,0,NA,-37
8,1,1,1,0,0,-35
13,1,0,1,NA,1,15
13,1,0,1,0,1,14
13,0,0,1,0,1,16
10,1,0,1,0,1,-11
13,0,0,1,0,1,16
11,1,1,1,0,1,12
10,1,0,1,1,1,-21
10,1,0,1,0,0,-19
13,1,0,1,0,1,-25
13,0,0,1,0,1,-8
11,0,1,1,0,1,4
11,1,0,1,0,1,10
9,0,0,1,1,NA,-27
11,1,0,1,1,1,-11
11,0,0,1,0,NA,-13
12,0,0,1,0,NA,-4
4,0,0,0,1,1,13
10,1,0,1,0,1,-22
13,1,0,1,1,1,8
13,0,0,1,0,1,-8
13,0,0,1,0,1,19
10,1,0,1,0,1,-19
13,0,0,1,0,1,-20
10,1,0,1,0,1,-20
